Packing List,PL-100062,,,,,,,
Booking,NW2662,Container,BOXU7717470,ETD,2026-08-26,,,

Carton No,PO,SKU,Description,Variant,Qty (pcs),CBM,G.W. (kg),N.W. (kg)
1-4,PO-9516,IG7905-PF,Voltera Spark Plug Set,Performance,48,0.097,106.5,95.9
5-14,PO-9539,SU1252-BK,Summit Shock Absorber,Black,120,2.924,350.2,315.2
15-16,PO-9447,IG1709-CE,Voltera Spark Plug Set,Ceramic,24,0.610,87.4,78.7
17-26,PO-9465,DR6818-BK,Torqueline Drive Chain,Black,120,1.984,83.0,74.7
27-34,PO-9490,LT9166-BK,Lumen LED Headlight,Black,96,2.503,59.1,53.2
35-38,PO-9428,CO2734-LH,Ironbridge Radiator,Left Hand,48,1.157,185.3,166.8
39-46,PO-9476,EL6466-CE,Voltera Battery 12V,Ceramic,96,0.284,356.5,320.9
47-50,PO-9524,BD4607-RH,Ridgeline Side Mirror Set,Right Hand,48,0.911,84.9,76.4
51-60,PO-9453,CO1386-STD,Ironbridge Radiator,Standard,120,2.343,126.4,113.8
61-64,PO-9401,DR5615-LH,Torqueline Drive Chain,Left Hand,48,0.402,72.3,65.1
65-72,PO-9405,FL4088-STD,Kestrel Oil Filter,Standard,96,2.640,317.4,285.7
73-80,PO-9403,IG9615-RH,Voltera Spark Plug Set,Right Hand,96,0.465,107.9,97.1
81-82,PO-9461,DR1426-BK,Torqueline Drive Chain,Black,24,0.449,18.6,16.7
83-92,PO-9405,IG7793-RH,Voltera Spark Plug Set,Right Hand,120,2.251,378.5,340.7
93-96,PO-9464,DR7646-CE,Torqueline Drive Chain,Ceramic,48,0.839,54.1,48.7
97-104,PO-9415,CO1100-RH,Ironbridge Radiator,Right Hand,96,1.852,190.1,171.1

TOTAL,,,,,1248,21.711,2578.2,2320.7
Total cartons,104,,,,,,,
